,Client type,Age,Sex,Ethnicity,Region,Call answered
454,SPS,28,F,NZ Maori / Cook Island Maori,Bay of Plenty,n
455,JS,23,M,NZ Maori / NZEU,Canterbury,n
457,JS,22,M,,Wellington,n
464,JS,26,M,Samoan,Auckland,n
465,SPS,31,F,Samoan,Otago,n
467,JS,50,M,NZ Maori,Bay of Plenty,n
470,JS,24,F,Samoan,Auckland,n
553,JS,57,F,Cook Island Maori,Auckland,n
554,JS,56,M,NZ Maori,Tasman,n
556,JS,62,F,NZ Maori,Waikato,n
557,SLP,53,F,NZ Maori,Waikato,n
558,JS,53,F,NZ Maori / NZEU,Bay of Plenty,n
569,JS,31,F,NZ Maori,Bay of Plenty,n
570,JS,30,M,NZ Maori,Bay of Plenty,n
574,JS,33,M,NZEU,Wellington,n
576,JS,28,M,Filipino,Waikato,n
577,JS,29,M,NZ Maori,Northland,n
578,JS,25,M,NZ Maori,Waikato,n
579,JS,27,F,NZ Maori,Auckland,n
580,JS,25,M,NZ Maori,Manawatū-Whanganui,n
581,JS,26,M,NZ Maori / NZEU,Northland,n
582,JS,28,M,NZEU,Canterbury,n
584,JS,44,F,Samoan,Auckland,n
586,JS,20,M,NZ Maori,Bay of Plenty,n
587,JS,23,M,NZ Maori,Taranaki,n
588,JS,24,M,NZ Maori,Bay of Plenty,n
589,JS,21,M,NZ Maori,Northland,n
590,JS,22,M,NZ Maori,Bay of Plenty,n
591,JS,27,M,NZ Maori,Northland,n
594,JS,18,M,NZ Maori / Cook Island Maori,Auckland,n
595,JS,24,M,NZEU,Otago,n
596,JS,22,M,NZEU,Waikato,n
599,JS,23,M,Chinese,Auckland,n
608,JS,62,F,NZEU,Canterbury,n
611,EB,19,M,Samoan,Auckland,n
612,JS,20,M,Samoan,Auckland,n
622,SLP,41,F,NZ Maori / NZEU,Bay of Plenty,n
628,JS,33,M,NZ Maori / NZEU,Wellington,n
629,SPS,37,F,NZ Maori / NZEU,Otago,n
630,SPS,35,F,NZ Maori / NZEU,Wellington,n
634,SPS,40,F,Chinese,Canterbury,n
636,JSSH,31,F,NZEU / English,Canterbury,n
638,SPS,30,F,Tongan,Auckland,n
639,SPS,27,F,Cook Island Maori,Auckland,n
641,JS,25,F,NZ Maori,Wellington,n
643,SLP,27,F,NZEU,Wellington,n
644,SPS,32,F,NZEU,Canterbury,n
645,JS,36,M,NZEU,Taranaki,n
646,JSSH,26,F,,Auckland,n
651,JS,24,F,NZ Maori / NZEU,Waikato,n
653,JS,21,F,NZEU,Waikato,n
654,JS,21,M,NZEU,Wellington,n
656,JSSH,19,F,NZEU / Japanese,Auckland,n
659,JSSH,24,M,,Auckland,n
